Gene symbol,v-score,q-value (BH-FDR-corrected p-value),"Maximum abundance (normalized counts, rounded)"
Grtp1, 1.235 ,0.082426,8
Supt5, 1.235 ,0.082426,17
Morf4l1, 1.235 ,0.082426,27
Tcf3, 1.235 ,0.082426,11
Enoph1, 1.235 ,0.082426,9
Pole4, 1.235 ,0.082426,14
Prelid1, 1.234 ,0.082426,23
Atxn10, 1.234 ,0.082426,14
Ppp2r2a, 1.234 ,0.082426,18
Slc39a7, 1.234 ,0.082426,11
U2af2, 1.234 ,0.082426,15
BC030867, 1.234 ,0.082426,10
Ccndbp1, 1.234 ,0.082426,7
Bod1, 1.234 ,0.082426,9
Dctd, 1.233 ,0.082426,9
Tpm1, 1.233 ,0.082426,15
Chchd1, 1.233 ,0.082426,10
Preb, 1.233 ,0.082938,10
Taldo1, 1.233 ,0.083351,14
Cox5a, 1.233 ,0.083351,27
Myo1c, 1.233 ,0.083351,17
Hs6st1, 1.233 ,0.084271,14
Polr2d, 1.233 ,0.084271,9
Mrpl33, 1.232 ,0.084271,10
Gadd45a, 1.232 ,0.084271,9
Fdps, 1.232 ,0.084581,12
Orc2, 1.232 ,0.084581,17
Fam207a, 1.232 ,0.084581,14
Smg7, 1.232 ,0.084581,10
Haus1, 1.231 ,0.08545,9
Snrpg, 1.231 ,0.08545,38
Ddx39, 1.231 ,0.08545,15
Glrx3, 1.231 ,0.08545,15
Tsen15, 1.231 ,0.08545,8
Cdk4, 1.231 ,0.08545,13
Mtg2, 1.231 ,0.08545,7
Inpp5d, 1.231 ,0.08545,11
Cct2, 1.231 ,0.08545,27
Actr3, 1.231 ,0.08545,17
Top3b, 1.230 ,0.08545,10
Ube2g2, 1.230 ,0.08545,9
Ergic1, 1.230 ,0.08545,12
Ndufa11, 1.230 ,0.08545,18
Rer1, 1.230 ,0.08545,10
Aco2, 1.230 ,0.085902,14
Pspc1, 1.230 ,0.087351,9
Gltscr2, 1.230 ,0.087351,15
1700037H04Rik, 1.230 ,0.087351,14
Mphosph8, 1.229 ,0.087439,11
Urah, 1.229 ,0.087439,10
Stk11, 1.229 ,0.087439,10
Rpl7l1, 1.229 ,0.087439,48
Aqp3, 1.229 ,0.087439,6
Ascc1, 1.229 ,0.087439,10
Polr2f, 1.229 ,0.087439,16
Kif11, 1.229 ,0.087439,16
Mapre1, 1.229 ,0.087439,24
Nr4a1, 1.229 ,0.087439,9
Ints5, 1.228 ,0.087439,11
Uspl1, 1.228 ,0.087439,11
Usp22, 1.228 ,0.087439,10
Rad23b, 1.228 ,0.087439,17
Eif3l, 1.228 ,0.087439,10
Dut, 1.228 ,0.087439,15
Cep89, 1.228 ,0.087439,8
Tmbim6, 1.228 ,0.087439,17
Sugt1, 1.228 ,0.088122,11
Fxr2, 1.228 ,0.088122,15
Zglp1, 1.228 ,0.088122,8
Slc35b1, 1.228 ,0.088122,10
H2afv, 1.228 ,0.088122,17
Rhot2, 1.228 ,0.088122,8
Eif1, 1.227 ,0.088122,35
Kdelr1, 1.227 ,0.088486,12
Unc119, 1.227 ,0.088486,8
Lmnb2, 1.227 ,0.088486,10
Mphosph6, 1.227 ,0.088486,11
Hmgn2, 1.227 ,0.088486,15
Hsdl1, 1.227 ,0.088486,12
Dnmt1, 1.227 ,0.088486,14
Rdh14, 1.227 ,0.088486,13
Isca2, 1.226 ,0.088486,7
Tmem126a, 1.226 ,0.088486,6
Dhrs4, 1.226 ,0.088486,11
Mak16, 1.226 ,0.088486,10
Ddx24, 1.226 ,0.088486,11
Pvrl2, 1.226 ,0.088486,11
Man2c1, 1.226 ,0.088486,8
Creld1, 1.226 ,0.088486,9
Lgsn, 1.226 ,0.088486,15
Uck2, 1.226 ,0.088486,8
Ldlrap1, 1.226 ,0.088486,7
Ndufv3, 1.226 ,0.088486,10
Banf1, 1.226 ,0.088486,18
Phb, 1.225 ,0.088486,18
Prkar1a, 1.225 ,0.088919,14
Timm8a1, 1.225 ,0.088919,10
Rps6ka1, 1.225 ,0.089235,14
Trmt6, 1.225 ,0.089235,12
Dmwd, 1.225 ,0.089235,9
Ndufaf3, 1.225 ,0.089235,7
Rassf7, 1.225 ,0.089235,9
Gtf2i, 1.225 ,0.089235,11
Baz2b, 1.225 ,0.089235,17
Scgb3a1, 1.225 ,0.089235,8
Egln2, 1.225 ,0.089235,10
Naa38, 1.225 ,0.089235,17
Grb7, 1.224 ,0.089235,10
Ndufs8, 1.224 ,0.089235,9
Wdr83, 1.224 ,0.089235,9
Mt3, 1.224 ,0.089235,10
Chmp1a, 1.224 ,0.089235,11
Msc, 1.224 ,0.089235,10
Mcm4, 1.224 ,0.089235,17
Ube2d3, 1.224 ,0.089235,17
Nhp2l1, 1.224 ,0.089235,19
Ranbp1, 1.224 ,0.089235,24
Ifrd1, 1.224 ,0.089235,7
Ndufa2, 1.224 ,0.089235,21
Pou5f1, 1.224 ,0.089235,55
Timm17a, 1.224 ,0.089235,10
Cks1b, 1.224 ,0.089235,16
Gmppa, 1.224 ,0.089235,9
Fbxo45, 1.224 ,0.089235,9
Dppa2, 1.224 ,0.089235,12
Orai1, 1.224 ,0.089235,7
Prr5, 1.224 ,0.089235,7
Nrbp1, 1.224 ,0.089235,10
Uqcrfs1, 1.223 ,0.089235,10
Gm10094, 1.223 ,0.089235,10
Josd2, 1.223 ,0.089235,8
Ndufb3, 1.223 ,0.089235,8
Coq2, 1.223 ,0.089235,9
Upf3a, 1.223 ,0.089235,8
Pxk, 1.223 ,0.089235,13
Pgd, 1.222 ,0.089235,17
Yars, 1.222 ,0.089235,12
Cdc45, 1.222 ,0.089235,9
Dnajc11, 1.222 ,0.089235,11
Gtf2e2, 1.222 ,0.089235,11
Tax1bp3, 1.222 ,0.089235,8
Tarbp2, 1.222 ,0.089235,14
Cops5, 1.222 ,0.089235,16
Lsm6, 1.222 ,0.089235,12
Rce1, 1.222 ,0.089235,8
Gadd45b, 1.222 ,0.089235,8
Unc50, 1.222 ,0.089235,9
Akap8, 1.222 ,0.089235,10
Bckdha, 1.221 ,0.089235,8
Isca1, 1.221 ,0.089235,9
Derl1, 1.221 ,0.089235,10
Nusap1, 1.221 ,0.089235,10
Abtb1, 1.221 ,0.089235,8
Evi5, 1.221 ,0.089235,24
Lpar6, 1.221 ,0.089235,9
Rgs19, 1.221 ,0.089235,12
Eprs, 1.221 ,0.089235,16
Oser1, 1.221 ,0.089235,8
3110062M04Rik, 1.221 ,0.089235,8
2700060E02Rik, 1.221 ,0.089235,20
Tagap1, 1.221 ,0.089235,7
Tmem192, 1.221 ,0.089235,7
Trappc2l, 1.220 ,0.089235,8
Tbx3, 1.220 ,0.089235,18
Adipor2, 1.220 ,0.089235,16
Dpm3, 1.220 ,0.089235,10
Ddx41, 1.220 ,0.089235,8
Tmem69, 1.220 ,0.089235,12
Hadh, 1.220 ,0.089235,9
Cstf2t, 1.220 ,0.089235,21
Vps36, 1.220 ,0.089235,7
Acads, 1.220 ,0.089235,10
Cacybp, 1.220 ,0.089235,17
Tjp2, 1.220 ,0.089235,13
Mad2l2, 1.220 ,0.089235,10
Pdk1, 1.220 ,0.089235,16
Nop14, 1.220 ,0.089235,13
Asna1, 1.220 ,0.089235,13
Taf13, 1.220 ,0.089235,8
Ube2e3, 1.219 ,0.089235,11
Rnf25, 1.219 ,0.089235,9
Angptl4, 1.219 ,0.089235,7
Csnk1a1, 1.219 ,0.089235,10
Gns, 1.219 ,0.089235,8
Snord64, 1.219 ,0.089235,4
Pdcd5, 1.219 ,0.089235,14
Stt3a, 1.219 ,0.089235,12
Rab3gap1, 1.219 ,0.089235,20
Dync1i2, 1.219 ,0.089235,11
Champ1, 1.219 ,0.089235,10
Exosc5, 1.219 ,0.089235,11
Ascc2, 1.219 ,0.089235,8
Cnot10, 1.219 ,0.089235,17
Mrps17, 1.219 ,0.089235,8
Tma16, 1.218 ,0.089235,10
Gprc5a, 1.218 ,0.089235,11
Dok2, 1.218 ,0.089235,9
Snrpa, 1.218 ,0.089235,18
Rnf115, 1.218 ,0.089235,10
Eml2, 1.218 ,0.089235,9
Cox6b2, 1.218 ,0.089235,8
Prdm15, 1.218 ,0.089235,14
Itga3, 1.217 ,0.089235,11
Rnf126, 1.217 ,0.089235,13
Idh3b, 1.217 ,0.089235,10
Cisd1, 1.217 ,0.089235,10
Fam107b, 1.217 ,0.089235,10
Eif4e, 1.217 ,0.089235,12
Aars, 1.217 ,0.089235,12
Nsfl1c, 1.217 ,0.089235,11
Nup43, 1.217 ,0.089235,10
Mrps16, 1.217 ,0.089235,15
Psmg4, 1.216 ,0.089235,8
Zmat2, 1.216 ,0.089235,13
Fxyd6, 1.216 ,0.089235,11
Mcm3, 1.216 ,0.089235,21
Rtn4, 1.216 ,0.089235,14
Frat2, 1.216 ,0.089235,10
Adss, 1.216 ,0.089235,14
Gemin2, 1.216 ,0.089235,9
Cct3, 1.216 ,0.089235,29
Copa, 1.216 ,0.089235,15
Shfm1, 1.216 ,0.089235,20
Lamtor5, 1.215 ,0.089235,10
Rcn1, 1.215 ,0.089235,12
Rras2, 1.215 ,0.089235,9
Khdrbs3, 1.215 ,0.089235,9
Rab1, 1.215 ,0.089235,12
Psme1, 1.215 ,0.089235,7
Ap1m1, 1.215 ,0.089235,9
Vps28, 1.215 ,0.089235,7
Rtca, 1.215 ,0.089235,8
Fars2, 1.215 ,0.089235,10
Phtf2, 1.215 ,0.089235,12
Cd2bp2, 1.215 ,0.089235,12
Nudt4, 1.215 ,0.089235,12
Fam13b, 1.215 ,0.089235,8
Ap2b1, 1.215 ,0.089235,13
Rraga, 1.215 ,0.089235,9
Tmem41a, 1.215 ,0.089235,8
Msantd3, 1.215 ,0.089235,8
Zdhhc9, 1.215 ,0.089235,8
Aven, 1.214 ,0.089235,9
Ralbp1, 1.214 ,0.089235,14
Pdcd6, 1.214 ,0.089235,8
Sptan1, 1.214 ,0.089235,19
Gnb2, 1.214 ,0.089235,18
Ptpn6, 1.214 ,0.089235,8
Plekhj1, 1.214 ,0.089235,9
Vmn2r15, 1.214 ,0.089235,7
Jam3, 1.214 ,0.089235,9
Rbm19, 1.214 ,0.089235,12
H1f0, 1.214 ,0.089235,8
Ddx54, 1.214 ,0.089235,11
Tmem115, 1.214 ,0.089235,8
Klk8, 1.214 ,0.089235,9
Ankfy1, 1.214 ,0.089235,30
Rnh1, 1.214 ,0.089235,8
Sfswap, 1.214 ,0.089235,9
Scrib, 1.213 ,0.089235,15
Asrgl1, 1.213 ,0.089235,7
Ctbp2, 1.213 ,0.089235,19
Etf1, 1.213 ,0.089235,16
Dctn1, 1.213 ,0.089235,12
Arih2, 1.213 ,0.089235,14
Nck1, 1.213 ,0.089235,7
Bst2, 1.213 ,0.089235,8
Ppp1r10, 1.213 ,0.089235,9
Smyd2, 1.213 ,0.089235,10
Cpsf3l, 1.212 ,0.089235,13
Smad4, 1.212 ,0.089235,11
Klc3, 1.212 ,0.089235,9
4930444M15Rik, 1.212 ,0.089235,9
Ccnt1, 1.212 ,0.089235,7
Atrx, 1.212 ,0.089235,17
Rbbp7, 1.212 ,0.089235,12
Mbnl2, 1.212 ,0.089235,12
Phlda1, 1.212 ,0.089235,11
Rbm17, 1.212 ,0.089235,12
Tox4, 1.212 ,0.089235,16
Srp72, 1.212 ,0.089235,11
Uqcrq, 1.212 ,0.089235,20
Mreg, 1.212 ,0.089235,11
Epm2aip1, 1.211 ,0.089235,22
Zscan10, 1.211 ,0.089235,10
Lmo4, 1.211 ,0.089235,15
Cenph, 1.211 ,0.089235,9
Fgfr1, 1.211 ,0.089235,11
Apmap, 1.211 ,0.089235,10
E2f6, 1.211 ,0.089235,10
Thap7, 1.211 ,0.089235,10
Itga6, 1.211 ,0.089235,13
Tppp3, 1.211 ,0.089235,8
Ube2m, 1.211 ,0.089235,18
Gm13051, 1.211 ,0.089352,13
Nsun2, 1.211 ,0.089352,15
Snora73b, 1.211 ,0.089352,3
Gm5801, 1.211 ,0.089352,13
Tubb4b, 1.210 ,0.089352,42
Slc25a33, 1.210 ,0.089352,9
Strip1, 1.210 ,0.089352,10
Chd4, 1.210 ,0.090159,26
Tuba1a, 1.210 ,0.090584,43
Taf1c, 1.210 ,0.09065,8
Ncapg, 1.210 ,0.09065,11
Dpp3, 1.210 ,0.09065,9
Myd88, 1.210 ,0.09065,9
Snrnp200, 1.210 ,0.09065,17
Folr1, 1.210 ,0.09065,11
Mrps28, 1.209 ,0.09065,9
Lrch4, 1.209 ,0.09065,11
Cd151, 1.209 ,0.090849,8
Mcts1, 1.209 ,0.090849,8
Nudc, 1.209 ,0.090849,22
Phyhd1, 1.209 ,0.090849,12
Mtfmt, 1.209 ,0.091736,20
Hdgfrp2, 1.209 ,0.091842,12
Mapk13, 1.209 ,0.091842,13
Lman2, 1.209 ,0.091842,13
1500011K16Rik, 1.209 ,0.091842,10
Tmem134, 1.209 ,0.091842,10
Wdr3, 1.209 ,0.091842,11
Bloc1s4, 1.209 ,0.091842,7
Ppp5c, 1.209 ,0.091842,12
Mdk, 1.208 ,0.092006,12
Cog4, 1.208 ,0.092006,9
2410003L11Rik, 1.208 ,0.092006,6
Ddx50, 1.208 ,0.092006,13
Selk, 1.208 ,0.092006,10
Ddah1, 1.208 ,0.092006,13
Fem1b, 1.208 ,0.092006,15
Ilf2, 1.208 ,0.092006,10
St14, 1.208 ,0.092006,13
Klhl13, 1.208 ,0.092006,9
Eif3f, 1.208 ,0.092006,15
Sucla2, 1.208 ,0.092006,9
Smdt1, 1.208 ,0.092006,14
Nfatc2ip, 1.208 ,0.092006,15
Sqle, 1.208 ,0.092108,8
Rab3ip, 1.208 ,0.092108,10
Slc25a28, 1.207 ,0.092108,9
Srf, 1.207 ,0.092108,9
Pisd-ps3, 1.207 ,0.092108,6
E430025E21Rik, 1.207 ,0.092108,12
Mrpl15, 1.207 ,0.092108,21
Echs1, 1.207 ,0.092108,8
Fmnl3, 1.207 ,0.092108,8
Mbtd1, 1.207 ,0.092108,11
Atp5d, 1.207 ,0.092108,21
Crls1, 1.207 ,0.092108,11
Exosc6, 1.207 ,0.092108,10
Pcbp4, 1.206 ,0.092108,8
Psme4, 1.206 ,0.092108,20
Syf2, 1.206 ,0.092108,11
Nkain1, 1.206 ,0.092108,11
Psmd3, 1.206 ,0.092108,19
Srp68, 1.206 ,0.092108,12
Mrps21, 1.206 ,0.092108,10
Lasp1, 1.206 ,0.092108,15
Otx2, 1.206 ,0.092108,8
Amn, 1.206 ,0.092108,9
2510039O18Rik, 1.206 ,0.092108,9
Dbf4, 1.206 ,0.092108,13
Triml2, 1.206 ,0.092108,8
Hagh, 1.206 ,0.092108,10
Pigp, 1.205 ,0.092108,27
LOC101056043, 1.205 ,0.092108,10
Glo1, 1.205 ,0.092108,16
Tnfrsf12a, 1.205 ,0.092384,8
Taf12, 1.205 ,0.092384,8
Tssc4, 1.205 ,0.092384,10
Ptdss2, 1.205 ,0.092384,9
Ciapin1, 1.205 ,0.092583,21
Hint2, 1.204 ,0.092583,8
Znhit3, 1.204 ,0.092583,11
Ola1, 1.204 ,0.092583,14
Lamtor3, 1.204 ,0.092583,8
Cct7, 1.204 ,0.092583,31
Faf1, 1.204 ,0.092583,11
Emc4, 1.204 ,0.092583,8
Tyro3, 1.204 ,0.092583,16
Dpp9, 1.204 ,0.092583,9
Phlda2, 1.204 ,0.092583,6
Ap4s1, 1.204 ,0.092583,7
Ttc1, 1.204 ,0.092583,8
Ccnf, 1.204 ,0.092583,10
Noc2l, 1.203 ,0.092811,12
Gadd45g, 1.203 ,0.092811,9
Numa1, 1.203 ,0.092811,15
Ssbp3, 1.203 ,0.092811,13
Mrpl37, 1.203 ,0.093266,10
Xrcc6, 1.203 ,0.093266,10
Ap2a2, 1.203 ,0.093266,12
Mbtps1, 1.203 ,0.093266,12
Atp5j, 1.203 ,0.093266,17
Akirin1, 1.203 ,0.093266,11
Rnps1, 1.203 ,0.093266,15
Fam192a, 1.203 ,0.093266,8
Jak3, 1.203 ,0.093266,9
Tars, 1.203 ,0.093623,15
Sept2, 1.203 ,0.093623,18
Cnih1, 1.202 ,0.09376,10
Zic3, 1.202 ,0.09376,17
Zfp428, 1.202 ,0.09376,10
Foxk2, 1.202 ,0.09376,11
Txndc15, 1.202 ,0.09376,7
Mcm10, 1.202 ,0.094119,11
Rmnd5a, 1.202 ,0.094119,16
Arfgap1, 1.202 ,0.094119,9
D2Wsu81e, 1.202 ,0.094119,7
Rae1, 1.202 ,0.094119,14
Mrpl11, 1.202 ,0.094119,13
Timp1, 1.202 ,0.094119,7
Ckap2l, 1.202 ,0.094119,8
Ttc13, 1.202 ,0.094119,8
Ccna2, 1.202 ,0.094119,12
Fam63a, 1.202 ,0.094119,10
Pafah1b3, 1.202 ,0.094119,7
Dpm2, 1.201 ,0.094253,10
Dhcr24, 1.201 ,0.094253,13
Uqcrc2, 1.201 ,0.094253,15
Myo10, 1.201 ,0.094253,11
Clasrp, 1.201 ,0.094253,10
Pstk, 1.201 ,0.094253,9
Rbm14, 1.201 ,0.094399,8
Brd2, 1.201 ,0.094399,20
Fastk, 1.201 ,0.094399,9
Sec63, 1.201 ,0.094399,13
Flot2, 1.201 ,0.094399,9
Tmem259, 1.201 ,0.094399,14
Mob4, 1.201 ,0.094399,12
Dnajc15, 1.201 ,0.094399,7
Trim35, 1.201 ,0.094399,10
Pla2g1b, 1.201 ,0.094399,7
Asun, 1.200 ,0.094399,17
Mtap, 1.200 ,0.094399,10
Znhit1, 1.200 ,0.094399,9
Pepd, 1.200 ,0.094399,10
Ngdn, 1.200 ,0.094399,8
Coq6, 1.200 ,0.094399,7
Grwd1, 1.200 ,0.094399,10
Fig4, 1.200 ,0.094399,11
Cox20, 1.200 ,0.094399,9
Abcg2, 1.200 ,0.094399,9
Ntpcr, 1.200 ,0.094399,7
Canx, 1.200 ,0.094399,20
Ptbp1, 1.200 ,0.094399,29
Etaa1, 1.200 ,0.094399,12
Atad3a, 1.200 ,0.094399,13
Taf10, 1.199 ,0.094399,9
Klhl21, 1.199 ,0.094399,14
Zcrb1, 1.199 ,0.094399,11
Mrpl18, 1.199 ,0.094399,13
Sdf2l1, 1.199 ,0.094399,12
Athl1, 1.199 ,0.094399,12
Cmtm6, 1.199 ,0.094399,12
Emc3, 1.199 ,0.094399,9
Metrn, 1.199 ,0.094399,7
Thoc7, 1.199 ,0.094399,13
Prc1, 1.199 ,0.094399,9
Srrm1, 1.199 ,0.094399,17
Glt25d1, 1.199 ,0.094399,11
Hars, 1.199 ,0.094399,13
Rexo4, 1.199 ,0.094399,10
Lpar5, 1.199 ,0.094399,9
Rab40c, 1.199 ,0.094616,12
Cnot2, 1.198 ,0.094616,15
Thop1, 1.198 ,0.094616,9
Rad17, 1.198 ,0.094616,9
Rela, 1.198 ,0.094616,9
Syce1, 1.198 ,0.094616,8
Jkamp, 1.198 ,0.094616,9
Rbm38, 1.198 ,0.094616,9
Bckdhb, 1.198 ,0.094616,7
Mfsd10, 1.198 ,0.094616,8
Mthfd1, 1.198 ,0.094616,13
Exosc4, 1.198 ,0.094616,12
Uqcrc1, 1.198 ,0.094618,15
Zc3h15, 1.198 ,0.094618,13
Ccdc181, 1.198 ,0.094618,8
Fbxw11, 1.198 ,0.094618,14
Rrbp1, 1.198 ,0.094618,16
Mzt2, 1.198 ,0.094618,9
Surf2, 1.198 ,0.094618,7
Las1l, 1.198 ,0.094618,15
Pla2g6, 1.198 ,0.094618,12
Mknk2, 1.198 ,0.094618,8
Ttc27, 1.198 ,0.094958,11
Ppp2r5d, 1.197 ,0.094958,13
Prpf38a, 1.197 ,0.095294,8
Mrps33, 1.197 ,0.095294,12
Timm22, 1.197 ,0.095294,10
Lrwd1, 1.197 ,0.095294,8
Mien1, 1.197 ,0.095294,10
Golph3, 1.197 ,0.095294,8
Srsf7, 1.197 ,0.095294,17
Dqx1, 1.197 ,0.095294,12
Ncbp1, 1.197 ,0.095294,9
Grpel1, 1.196 ,0.095294,12
Mpc2, 1.196 ,0.095294,9
Smc4, 1.196 ,0.095294,11
Rcc2, 1.196 ,0.095294,29
BC005624, 1.196 ,0.095294,11
Mrpl22, 1.196 ,0.095294,7
Naa10, 1.196 ,0.095294,11
Mrps18b, 1.196 ,0.095294,12
Enah, 1.196 ,0.095294,20
Rbbp5, 1.196 ,0.095459,9
Fam96a, 1.196 ,0.095459,8
Gm5860, 1.196 ,0.095459,21
Arglu1, 1.196 ,0.095459,11
Rpusd4, 1.196 ,0.095459,7
Anp32b, 1.196 ,0.095459,26
Tmx2, 1.196 ,0.095459,12
Mettl9, 1.196 ,0.095459,8
Med28, 1.196 ,0.095459,15
Mcm2, 1.196 ,0.095459,20
Get4, 1.196 ,0.095459,15
Tcfl5, 1.195 ,0.095459,9
Ubr7, 1.195 ,0.095459,11
Srsf3, 1.195 ,0.095459,21
Xbp1, 1.195 ,0.096124,11
Phyh, 1.195 ,0.096124,8
Ddah2, 1.195 ,0.096372,8
Rbm39, 1.195 ,0.096372,16
Rap1b, 1.195 ,0.096372,10
Basp1, 1.195 ,0.096372,12
Alg3, 1.195 ,0.09666,9
Nr0b1, 1.195 ,0.09666,7
Polg, 1.194 ,0.096948,9
Rpp25l, 1.194 ,0.096948,9
Lin37, 1.194 ,0.096948,5
R3hdm4, 1.194 ,0.097607,8
Gemin4, 1.194 ,0.097607,10
BC052040, 1.194 ,0.097607,9
Zfp598, 1.194 ,0.097607,8
Prmt1, 1.194 ,0.097935,20
Rfc3, 1.194 ,0.097935,11
Cops4, 1.194 ,0.09805,12
Aplp2, 1.194 ,0.09805,12
Mrps18c, 1.194 ,0.09805,8
Pnpo, 1.194 ,0.09805,11
Vat1, 1.193 ,0.09805,9
Nkiras2, 1.193 ,0.09805,9
Etfb, 1.193 ,0.09805,11
Esyt1, 1.193 ,0.098419,9
Tatdn2, 1.193 ,0.098985,9
Zfp787, 1.193 ,0.098985,10
Sdhd, 1.193 ,0.098985,11
Vars, 1.193 ,0.098985,12
Abcf1, 1.193 ,0.098985,14
Prkab1, 1.193 ,0.099182,9
Khsrp, 1.193 ,0.099182,17
Acvr2b, 1.192 ,0.099182,7
Nr1h4, 1.192 ,0.099182,9
Ccdc166, 1.192 ,0.09942,7
Ehd4, 1.192 ,0.09942,10
Sec11a, 1.192 ,0.09942,14
Cpsf1, 1.192 ,0.09942,10
Ecd, 1.192 ,0.099753,13
Mrps6, 1.192 ,0.099753,7
Hsf1, 1.192 ,0.099753,9
Wdr45, 1.192 ,0.099753,11
Smarca4, 1.192 ,0.099753,14
Sar1a, 1.192 ,0.099753,16
Csnk2a1, 1.192 ,0.099753,24
Nicn1, 1.192 ,0.099753,15
Nfu1, 1.192 ,0.099753,7
Rhox6, 1.192 ,0.099753,6
Vps4a, 1.192 ,0.099753,9
Zdhhc16, 1.192 ,0.099753,9
Plp2, 1.191 ,0.099753,12
Cr1l, 1.191 ,0.099753,9
Zfp330, 1.191 ,0.099753,9
Elf3, 1.191 ,0.099753,10
Tomm34, 1.191 ,0.099753,9
Fam110a, 1.191 ,0.099753,11
Dguok, 1.191 ,0.099753,8
Cdkal1, 1.191 ,0.099753,9
1110007C09Rik, 1.191 ,0.099753,7
Ncoa5, 1.191 ,0.099753,10
Anxa11, 1.191 ,0.099753,7
Sirt4, 1.191 ,0.099753,8
Hmbs, 1.191 ,0.099753,9
Anxa3, 1.191 ,0.099753,10
Ppp1cc, 1.191 ,0.099753,18
Fbxo42, 1.190 ,0.099753,13
Ufc1, 1.190 ,0.099753,11
Nt5dc2, 1.190 ,0.099753,8
Fh1, 1.190 ,0.099753,8
Polr2c, 1.190 ,0.099753,12
Vdac2, 1.190 ,0.099753,23
Atxn7l3b, 1.190 ,0.099753,15
Afg3l2, 1.190 ,0.099753,9
Tex13, 1.190 ,0.099753,12
Mrto4, 1.190 ,0.099753,10
Tspyl2, 1.190 ,0.099753,8
Otulin, 1.190 ,0.099753,8
Mrps11, 1.190 ,0.099753,8
Vkorc1, 1.190 ,0.099753,9
Ppp1r15b, 1.190 ,0.099753,13
Ngrn, 1.190 ,0.099753,9
H3f3a, 1.189 ,0.099753,25
Cwc15, 1.189 ,0.099753,10
Grb2, 1.189 ,0.099753,16
Loxl2, 1.189 ,0.099753,28
Snx32, 1.189 ,0.099753,8
Npdc1, 1.189 ,0.099753,8
2310011J03Rik, 1.189 ,0.099753,9
Zfp936, 1.189 ,0.099753,8
Pdap1, 1.189 ,0.099753,26
Rgs2, 1.189 ,0.099753,13
Cdc34, 1.189 ,0.099753,22
Dgkd, 1.189 ,0.099753,9
Snord47, 1.189 ,0.099753,5
Tagln3, 1.189 ,0.099753,6
Gm12504, 1.189 ,0.099753,41
Lamtor1, 1.189 ,0.099753,13
Suds3, 1.189 ,0.099753,11
Prdx5, 1.189 ,0.099753,7
Gar1, 1.189 ,0.099753,15
1110065P20Rik, 1.188 ,0.099753,7
Adck4, 1.188 ,0.099753,8
Mrpl10, 1.188 ,0.099753,10
Cpsf4, 1.188 ,0.099753,9
Pbdc1, 1.188 ,0.099921,22
Gclm, 1.188 ,0.099921,12
Fam136a, 1.188 ,0.099921,10
Mlh1, 1.188 ,0.099921,7
Usp48, 1.188 ,0.099921,11
Dctn2, 1.188 ,0.099921,14
Timeless, 1.188 ,0.099921,14
U2af1l4, 1.188 ,0.099921,8
Snhg8, 1.187 ,0.099921,12
Cdc42, 1.187 ,0.099921,22
Hint1, 1.187 ,0.099921,26
Arpc3, 1.187 ,0.099921,10
Mfap3, 1.187 ,0.099921,18
Nif3l1, 1.187 ,0.099921,12
Pdia4, 1.187 ,0.099921,9
Tmem160, 1.187 ,0.099921,8
Hhex, 1.187 ,0.099921,9
Abcf2, 1.187 ,0.099921,15
Manbal, 1.187 ,0.099921,10
Fis1, 1.186 ,0.099921,10
Pgrmc1, 1.186 ,0.099921,8
Mbip, 1.186 ,0.099921,7
Trmt61a, 1.186 ,0.099921,7
Ppp1r18, 1.186 ,0.099921,8
Gm6792, 1.186 ,0.099921,6
Nt5c, 1.186 ,0.099921,7
