Sirt7	sirtuin 7	MGI:MGI:2385849	
H2afy	H2A histone family, member Y	MGI:MGI:1349392	H2AF12M|macroH2A1|MACROH2A1.2|mH2a1
Whsc1l1	Wolf-Hirschhorn syndrome candidate 1-like 1 (human)	MGI:MGI:2142581	WHISTLE
Atg7	autophagy related 7	MGI:MGI:1921494	1810013K23Rik|Apg7l
Kmt2a	lysine (K)-specific methyltransferase 2A	MGI:MGI:96995	All1|ALL-1|Cxxc7|HTRX1|Mll|Mll1|trithorax Drosophila
Tlk1	tousled-like kinase 1	MGI:MGI:2441683	4930545J15Rik
Elp3	elongator acetyltransferase complex subunit 3	MGI:MGI:1921445	2610507P14Rik|KAT9
Hopx	HOP homeobox	MGI:MGI:1916782	1110018K11Rik|1200015P04Rik|2300002F06Rik|Cameo|Hod|Hop|Ob1|Toto
Suv39h1	suppressor of variegation 3-9 homolog 1 (Drosophila)	MGI:MGI:1099440	DXHXS7466e|KMT1A|mIS6|Suv39h histone methyltransferase
2410016O06Rik	RIKEN cDNA 2410016O06 gene	MGI:MGI:1919202	NO66
Ddb2	damage specific DNA binding protein 2	MGI:MGI:1355314	2610043A19Rik|p48
Dot1l	DOT1-like, histone H3 methyltransferase (S. cerevisiae)	MGI:MGI:2143886	KMT4|mDot1
Smad4	SMAD family member 4	MGI:MGI:894293	D18Wsu70e|Dpc4|Madh4|Smad 4
Bend3	BEN domain containing 3	MGI:MGI:2677212	
Aurka	aurora kinase A	MGI:MGI:894678	AIRK1|Ark1|aurora A|Aurora-A|Ayk1|IAK|IAK1|Stk6
Ube2e1	ubiquitin-conjugating enzyme E2E 1	MGI:MGI:107411	Ubce5|ubcM2|UbcM3
Nos1	nitric oxide synthase 1, neuronal	MGI:MGI:97360	2310005C01Rik|bNOS|nNOS|NO|Nos-1
Atxn7l3	ataxin 7-like 3	MGI:MGI:3036270	E030022H21Rik
Chd5	chromodomain helicase DNA binding protein 5	MGI:MGI:3036258	4930532L22Rik|B230399N07Rik
Crebbp	CREB binding protein	MGI:MGI:1098280	CBP|KAT3A
Ep400	E1A binding protein p400	MGI:MGI:1276124	1700020J09Rik|mDomino|p400
